"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"1388271_at";"689415";"Mt2A";2,30113197354484;10,4788411756855;14,6524048064532;1,43730100011528e-19;3,8663396903101e-16;33,8441918069064
"2";"1387930_at";"171162";"Reg3a";2,74628015729954;7,73306386765163;11,9296413667068;3,97641483680062e-16;5,34827795549684e-13;26,3344901885366
"3";"1387874_at";"24309";"Dbp";2,15035473901791;7,63163426971194;11,3169538674601;2,69496770760873e-15;2,41648771115583e-12;24,5018239972069
"4";"1368025_at";"140942";"Ddit4";-2,14266029617671;7,34837809996742;-9,09189540361665;4,16863194836927e-12;1,40170249263917e-09;17,4185440162206
"5";"1389528_s_at";"24516";"Jun";-2,13671826908893;6,7658224254008;-8,60758786191406;2,22056267883539e-11;5,97331360606719e-09;15,7970471016839
