	1	2	3	4	5	6
1367452_at	8.08468289385809	8.37220669151406	8.15811473841347	7.7909887467544	8.27958853924901	8.29524025149267
1367453_at	9.24892808212228	9.27042755418321	9.15952384380293	8.95208093617771	9.00639134592332	8.8617927770722
1367454_at	8.27408943699283	8.27417403418959	8.23903696678313	8.05349095803033	8.11582608741107	7.98393367296135
1367455_at	8.47088903005906	8.3824371287699	8.20759122046004	7.89616543782872	8.35002378659491	8.07150462299368
1367456_at	8.69251509811368	8.73297032135633	8.6009474040644	8.39158470372368	8.5098611854891	8.42271784601449
1367457_at	7.49324151411662	7.50757198122185	7.50729444162556	7.2106165911584	7.73870605472342	7.54334380223111
1367458_at	7.23227849295361	7.36903337134286	7.49091444311348	7.27532578752333	7.26129205563477	7.35091195788953
1367459_at	10.7570289640943	10.7504269083943	10.6376421818724	10.3825513501433	10.7498697036779	10.4373168042242
1367460_at	10.0258309717656	9.95906926490691	9.9288614079764	9.17607640725033	9.74173296631342	9.49286881086561
1367461_at	8.35911497852219	7.85569263370703	8.28292309658422	8.13046057867011	7.87478728699792	8.18810885431072
1367462_at	7.61590871423289	7.72881300300463	7.59461990326472	7.28050625552224	7.6630011240559	7.34905803639556
1367463_at	8.74274937574506	8.82722379930176	8.6658743029533	8.18540782514641	8.43084768867777	8.3060026978368
1367464_at	6.56436667748473	6.83631502551079	6.64024570534156	6.10433797063124	6.24026252530674	6.1931077345796
1367465_at	9.80759010171793	9.66062879359945	9.47131362152552	9.49410180842481	10.1316440745153	9.93682978274625
1367466_at	8.43188462758304	8.47377009787352	8.41799188358529	8.35811208121522	8.44500592939599	8.31525732400048
1367467_at	8.23619430457769	8.44414007382671	8.2853276100747	7.97906477971228	8.43844303687579	8.44259933108265
1367468_at	7.41956751381771	7.60737518392745	7.24581737856089	7.04220203929599	7.40221078155779	7.36431501356816
1367469_at	8.62501066532064	8.59136703632326	8.46518952019188	8.15068816622892	8.42324866497939	8.3096894235645
1367470_at	9.15038504727791	9.19128117211586	9.17706217999522	9.00822858450269	9.35317434359926	9.05890101944087
1367471_at	8.26700335609597	8.31250405551348	8.38478282716925	7.8844797893316	8.27719399225301	7.86036253237596
1367472_at	8.61128014913667	8.60237387074106	8.67774405526887	8.29808774953894	8.84098429888567	8.56954890808115
1367473_at	7.35236566424925	7.30337191464107	7.33063741657716	7.15210282736089	7.33882813675506	7.43293733439086
1367474_at	6.95859960578034	7.15811540667954	7.41840723537358	6.8551747107775	7.33756897149937	7.05685416686318
1367475_at	8.4552932531953	8.46340259561981	8.48054760528266	8.16343973945623	8.39086730045233	8.5005272837363
1367476_at	7.79570705005978	7.56547955600077	7.47983162712436	6.90683689864088	7.35425831021365	7.25282568550045
1367477_at	8.21196130685741	8.18382899410472	8.22009097623343	7.94772419429921	8.21058986253604	7.7872667281193
1367478_at	8.07628899625911	8.32066722982849	8.33961886833908	7.79754457365008	8.21477919023686	7.97000322426455
1367479_at	10.1557458790514	10.1509305685167	9.85785337332408	9.58417631546546	10.2119911155351	9.88047402714107
1367480_at	7.80824312037963	8.04006310650638	8.09476124577129	7.73829845215808	7.95970199783922	7.91581256257649
1367481_at	7.11426488456973	7.1633142595209	6.95167252531879	6.67185339711961	7.03624179246751	6.68633727808896
1367482_at	8.94119470761125	8.99041272703783	8.87677774770733	8.84026705848248	9.16979927117824	9.07599278008249
1367483_at	6.60803421993197	6.7548769531222	6.84131582400115	6.25781322377922	6.55691825523139	6.37473251102768
1367484_at	5.72221288375319	5.82865557562814	5.70135127488935	5.61687515878484	6.49070008449135	6.26565866833719
1367485_at	7.97229105875213	7.78538586729461	7.65091868486694	7.29865385253571	7.63142435536009	7.68959644991617
1367486_at	8.68295585547071	8.92891113274901	8.8916444759401	8.31841036163646	8.52731239589961	8.35923444814975
1367487_at	7.81270792028228	7.93550369237557	7.94968995720093	7.94758388263235	7.90276646970478	7.84144860366703
1367488_at	5.2048569167418	5.07570549387639	5.27316412531979	4.9599955620136	5.17061165314603	5.18425889209101
1367489_at	6.65639630531302	6.55758305058648	6.29049392950121	6.49924517791909	6.60395590041075	6.91146976748582
1367490_at	6.81129132807353	6.88280739439787	6.86447816648439	6.80647624842806	7.07399707703473	6.72455316070167
1367491_at	6.3475548252905	6.25283157698612	6.2630562325892	6.15706821217537	6.24691044291553	6.27280562784854
1367492_at	6.47381876857809	6.54273923289028	6.36820635806636	6.06775207477651	6.24481696739563	6.13352066993585
1367493_at	8.45397958782923	8.74735200995164	8.70283043142465	8.64286492143771	8.78319984982499	8.51823658383167
1367494_at	7.79875028484079	7.93135246592098	8.08840905238574	7.68534644658669	7.93098753292364	7.68982606343925
1367495_at	4.66794305077173	4.56268878122154	4.73830893284421	4.63305466329402	4.64537680935	4.57971689354709
1367496_at	9.96767857951165	9.53737156886582	9.39825900424596	9.56761382954446	10.1059999709054	10.2177565198533
1367497_at	6.8957449381299	6.81562080669887	6.72287313675397	6.77398517519845	6.81429975805309	6.87140874873936
1367498_at	8.36988054747152	8.27783618477592	8.46311373175213	8.4240359252243	8.57593568164476	8.33861724179915
1367499_at	6.85152872624659	6.92674878806075	6.94492730747192	6.57909041468306	6.78671390526019	6.67472098919383
1367500_at	8.55260853775184	8.6803038198487	8.6579374344842	8.10543288152056	8.58904210657846	8.55069326096828
1367501_at	9.18035959018757	9.12558767739673	8.92006435983149	8.27793987894317	8.56276759807134	8.677895774053
1367502_at	5.5351281429438	5.50403862541068	5.520018194749	5.55462116868305	5.63576054162603	5.37424374291619
1367503_at	8.29069939132713	8.29951392172975	8.09338531116122	8.062941838466	8.45096670504531	8.39118527923224
1367504_at	6.80982782285299	6.8189349565118	7.01428506235979	6.50490860012942	6.5969346742753	6.8104607718437
1367505_at	6.45539322912405	6.48025178691539	6.47597263716932	6.58862789970937	6.89131648617323	6.67439109065181
1367506_at	7.71741281090533	7.5400310985645	7.5414949898338	7.38424359967428	7.66946578656664	7.45746990639419
1367507_at	6.0435918914787	5.93736748969595	6.40003461139958	5.99165076014677	5.76930308439682	5.93254357983965
1367508_at	6.05558008233958	6.11311401551614	6.07234746296913	5.67008258286271	6.06209425415232	6.02642111401729
1367509_at	6.75287428283207	6.81401354390678	6.52040507741773	6.4045075042385	6.45035738555634	6.35560584547489
1367510_at	6.99540635790784	6.68501180661302	6.80484974942651	6.48749340113871	6.68253907226574	6.6996289204182
1367511_at	6.78988308955273	6.92096640896691	6.96903694562851	6.7480681627193	6.92268621254571	6.78705349590163
1367512_at	8.01771438980514	7.87959521459446	7.75983339395224	7.42459106411161	7.85155770717131	7.61155488973154
1367513_at	6.45367960632786	6.36237151873406	6.37147864743013	6.54348244585758	6.66828115528684	6.44918191211118
1367514_at	5.18751242828368	5.21397024919313	5.41726782981517	5.42061870095976	5.07538460994501	5.21199896881236
1367515_at	3.63072303236091	3.64407942314058	3.63344081294636	3.61051929551123	3.67079966061825	3.68472846132413
1367516_at	6.36922656615345	6.46783548143367	6.54282158378205	6.39218928653829	6.32987711646867	6.59900906743501
1367517_at	6.82387750597463	6.82662779919227	6.85479639009627	7.03014595320645	7.21726290815867	7.26348861386666
1367518_at	7.68846360235617	7.77329263746467	7.72496664487696	7.74496010770985	7.58261571098928	7.28176852108305
1367519_at	7.60107698097648	7.68788257318725	7.63495710472679	7.55652271875844	7.56043700684882	7.60582548250549
1367520_at	7.8185818490616	7.94278227987012	7.85369319182577	7.55838788860099	7.71060499586194	7.56976528909803
1367521_at	4.81251588152131	4.84885448715011	4.88064688588776	4.79975243080353	4.95571842955637	5.03920971280002
1367522_at	8.45386292700405	8.61553417123795	8.68119261876566	8.25450868951495	8.14942195628974	7.91792676415336
1367523_at	6.89995704958129	6.89470644656688	6.90965774944151	6.55351714575557	7.13084506312445	6.74458978226633
1367524_at	7.69740571418895	7.72285259749586	7.76733725000732	7.83543877986737	7.97971973049041	8.07838795840153
1367525_at	8.81054907155902	8.66148429139689	8.80655752876192	8.7721163668982	8.848821019402	8.85723684739382
1367526_at	7.93567100298751	7.9017441348833	7.76580284003048	7.59946612444342	7.91243373608946	7.84410144002792
1367527_at	5.22434501649055	5.26849249378792	5.23279778396041	5.18694632282733	5.24149706873579	5.23771355738658
1367528_at	7.32021662119536	7.45153037154826	7.19495091919197	7.25324860823386	7.08935373310202	7.17776205495103
1367529_at	7.34193305126727	7.26227105971298	7.24614533825565	7.27918672045877	7.3935151566056	7.27533854710542
